iter	RMSE
0	5.07789237
1	5.034399149
2	5.005497733
3	4.968567928
4	4.928733436
5	4.892497985
6	4.848528402
7	4.810864118
8	4.764244654
9	4.729792026
10	4.696000363
11	4.656107829
12	4.610203764
13	4.568688447
14	4.530669389
15	4.498501564
16	4.463566202
17	4.433468353
18	4.396950048
19	4.376556962
20	4.362063509
21	4.327520223
22	4.283368021
23	4.271555017
24	4.230963602
25	4.210504363
26	4.194482627
27	4.183732896
28	4.154634466
29	4.147910927
30	4.111536863
31	4.085790269
32	4.051239435
33	4.02648085
34	4.002811418
35	3.985671414
36	3.974839869
37	3.963311905
38	3.932631177
39	3.921866572
40	3.908303378
41	3.86346978
42	3.830186048
43	3.812956467
44	3.805940178
45	3.78150201
46	3.763930565
47	3.738509423
48	3.724624585
49	3.709590964
50	3.694151272
51	3.681207675
52	3.66144829
53	3.6372266
54	3.622309918
55	3.610744138
56	3.607530015
57	3.589008377
58	3.573095921
59	3.565797064
60	3.555702271
61	3.54396521
62	3.521628894
63	3.514768433
64	3.506314833
65	3.481348788
66	3.466492324
67	3.448815776
68	3.426040315
69	3.425008002
70	3.412564288
71	3.397507663
72	3.3869296
73	3.376657395
74	3.371137366
75	3.36667697
76	3.345549874
77	3.330231738
78	3.319546746
79	3.309087454
80	3.298534477
81	3.29004553
82	3.270109125
83	3.257047493
84	3.243585109
85	3.228461739
86	3.204088704
87	3.185517631
88	3.174444686
89	3.160824483
90	3.145227594
91	3.128986168
92	3.110851774
93	3.099482502
94	3.092032859
95	3.069757382
96	3.059556425
97	3.047173288
98	3.033810017
99	3.026813221
100	3.011469903
101	3.001681934
102	2.988344653
103	2.975222168
104	2.965355428
105	2.957797146
106	2.946936127
107	2.937161666
108	2.932803188
109	2.911743763
110	2.904094978
111	2.89504533
112	2.883901266
113	2.870769133
114	2.852517348
115	2.841533691
116	2.828780843
117	2.820060803
118	2.802112798
119	2.79533972
120	2.786704609
121	2.775306348
122	2.770132635
123	2.748192567
124	2.735788267
125	2.714104899
126	2.703828067
127	2.698686054
128	2.693217014
129	2.678642719
130	2.661277786
131	2.643855103
132	2.631978064
133	2.622827308
134	2.612598757
135	2.598098693
136	2.576670928
137	2.56525752
138	2.54766193
139	2.545320558
140	2.53179183
141	2.523646799
142	2.519793711
143	2.506480806
144	2.501053423
145	2.499823623
146	2.496735841
147	2.488561613
148	2.485008785
149	2.471322412
150	2.457642389
151	2.45040875
152	2.436794778
153	2.425957072
154	2.413548685
155	2.399558907
156	2.394108365
157	2.389056899
158	2.380451882
159	2.372811437
160	2.36521038
161	2.357397903
162	2.350839988
163	2.334896949
164	2.321367088
165	2.310651664
166	2.295406666
167	2.286295398
168	2.277809685
169	2.270597402
170	2.263904833
171	2.259378009
172	2.240611831
173	2.226181202
174	2.222426997
175	2.216426475
176	2.204784644
177	2.186839946
178	2.180010258
179	2.170747242
180	2.15410213
181	2.143705408
182	2.129354819
183	2.121786077
184	2.111058503
185	2.104628326
186	2.094204256
187	2.082020796
188	2.070701474
189	2.056359303
190	2.046727997
191	2.039173034
192	2.03237552
193	2.020009624
194	2.008422646
195	1.993837657
196	1.986746058
197	1.975270452
198	1.970884606
199	1.964405876
200	1.960009558
201	1.950785806
202	1.945437183
203	1.942510014
204	1.934027247
205	1.929025404
206	1.92340986
207	1.912784473
208	1.90440299
209	1.900893659
210	1.894415979
211	1.887045273
212	1.877025626
213	1.864672741
214	1.860507312
215	1.850222237
216	1.846322452
217	1.843690321
218	1.834004539
219	1.825572821
220	1.820539071
221	1.816485361
222	1.807949978
223	1.799897991
224	1.791316094
225	1.787855092
226	1.773161855
227	1.760623838
228	1.755261318
229	1.747324059
230	1.743260596
231	1.737647494
232	1.732175572
233	1.727414822
234	1.714864101
235	1.709652915
236	1.705081514
237	1.702221351
238	1.699626621
239	1.696829263
240	1.680160979
241	1.673927182
242	1.671385503
243	1.659232421
244	1.652170448
245	1.644606331
246	1.635384863
247	1.626654212
248	1.615385751
249	1.613724882
250	1.59825399
251	1.589087684
252	1.583163311
253	1.578432203
254	1.56376124
255	1.558258957
256	1.554965151
257	1.544838143
258	1.536307796
259	1.527986086
260	1.523861791
261	1.520252934
262	1.513879366
263	1.508027289
264	1.503345242
265	1.49643304
266	1.493979136
267	1.489147513
268	1.476033607
269	1.471751234
270	1.467049803
271	1.4616651
272	1.454214514
273	1.450273497
274	1.446725537
275	1.442444834
276	1.433799545
277	1.430617637
278	1.428882795
279	1.422786021
280	1.415618966
281	1.413341799
282	1.40568343
283	1.397176688
284	1.392476312
285	1.3882813
286	1.381121832
287	1.374962659
288	1.373319753
289	1.361684166
290	1.357765602
291	1.356477079
292	1.354745399
293	1.351931818
294	1.345909676
295	1.334802915
296	1.330524952
297	1.326355684
298	1.318231379
299	1.315292673
300	1.311663655
301	1.306969937
302	1.30396053
303	1.297212534
304	1.293533572
305	1.290030892
306	1.283244237
307	1.280583352
308	1.27712647
309	1.274267852
310	1.26611707
311	1.257803468
312	1.254847612
313	1.252154265
314	1.25063837
315	1.249032818
316	1.241437749
317	1.232039408
318	1.227737285
319	1.224569639
320	1.221435238
321	1.213750225
322	1.209680441
323	1.203221779
324	1.197696888
325	1.195351083
326	1.194050322
327	1.185947298
328	1.184055135
329	1.178297723
330	1.176137504
331	1.173833253
332	1.167859334
333	1.164894655
334	1.160308764
335	1.156143519
336	1.152750055
337	1.148301253
338	1.143109613
339	1.137292861
340	1.13150419
341	1.128921528
342	1.123567431
343	1.120272897
344	1.112584672
345	1.110121737
346	1.104503315
347	1.099473535
348	1.097985752
349	1.096680266
350	1.094060923
351	1.090372551
352	1.083573904
353	1.07890189
354	1.075020009
355	1.073713301
356	1.067959061
357	1.06512105
358	1.059971115
359	1.057280805
360	1.056018175
361	1.054476308
362	1.052537036
363	1.048342977
364	1.042028682
365	1.035502128
366	1.030332394
367	1.026152333
368	1.024939756
369	1.018287895
370	1.015471601
371	1.014679195
372	1.013510965
373	1.009685394
374	1.003205745
375	0.999580307
376	0.9977032936
377	0.993103157
378	0.992019429
379	0.9867966734
380	0.9838574134
381	0.9821217035
382	0.9763761975
383	0.9727062252
384	0.9678953924
385	0.9633261014
386	0.9607014795
387	0.9566467953
388	0.9525324784
389	0.9479460572
390	0.9452036503
391	0.9432307589
392	0.9416846503
393	0.9401291663
394	0.9389408081
395	0.93657804
396	0.9355413399
397	0.933629654
398	0.9302741241
399	0.925166884
400	0.9230446511
401	0.9196383089
402	0.9148065245
403	0.9100961131
404	0.90848545
405	0.9038539121
406	0.8979462314
407	0.8970049302
408	0.8945956139
409	0.8913461838
410	0.8898012729
411	0.8860424152
412	0.8818182494
413	0.8799554344
414	0.8768165746
415	0.8726215054
416	0.8687544888
417	0.8669008589
418	0.8629133881
419	0.8586174248
420	0.8575603244
421	0.8566404974
422	0.8540076218
423	0.8527498806
424	0.8514939161
425	0.8488095544
426	0.8478214351
427	0.84517561
428	0.8437921996
429	0.8407687673
430	0.8393794877
431	0.8387105727
432	0.8365291948
433	0.8357624077
434	0.8347661797
435	0.8329907837
436	0.8282281773
437	0.8248054596
438	0.8217118868
439	0.8175592472
440	0.8146487465
441	0.8128408034
442	0.809514795
443	0.8061588746
444	0.8023951837
445	0.7993460149
446	0.7957199237
447	0.7926457924
448	0.7919679853
449	0.7875866259
450	0.78488495
451	0.7820869515
452	0.7794838052
453	0.7747597695
454	0.7704638979
455	0.7683549829
456	0.7673586182
457	0.7664382625
458	0.7637810236
459	0.7630566864
460	0.7605977605
461	0.7583775115
462	0.7544861723
463	0.7509120197
464	0.7475961081
465	0.7471475939
466	0.745942338
467	0.7452899912
468	0.74173202
469	0.7413240936
470	0.7410326844
471	0.736653878
472	0.7346617764
473	0.7322519023
474	0.7289209567
475	0.7267993563
476	0.7256990096
477	0.7252511553
478	0.721250217
479	0.7205107871
480	0.7191482532
481	0.7148357003
482	0.7116976396
483	0.7076347627
484	0.7051252138
485	0.7047147073
486	0.7037699598
487	0.7004911805
488	0.6976813602
489	0.6950530065
490	0.6945358953
491	0.6942702752
492	0.6914464366
493	0.6903887431
494	0.6859774541
495	0.6837776017
496	0.6815540245
497	0.6794117195
498	0.6787463244
499	0.6751292858
500	0.6744510219
501	0.6740073101
502	0.6719609192
503	0.6711635262
504	0.6688022041
505	0.667236498
506	0.6643347761
507	0.6614841993
