iter	Passed	Remaining
0	0	526
1	1	621
2	1	637
3	2	666
4	3	675
5	3	653
6	4	635
7	5	653
8	5	635
9	6	628
10	6	621
11	7	637
12	8	637
13	8	632
14	9	633
15	10	625
16	10	623
17	11	620
18	12	622
19	12	624
20	13	628
21	14	629
22	14	624
23	15	619
24	15	615
25	16	611
26	16	607
27	17	603
28	18	602
29	18	602
30	19	600
31	19	600
32	20	598
33	21	598
34	21	598
35	22	600
36	23	602
37	23	603
38	24	607
39	25	609
40	26	608
41	26	607
42	27	611
43	28	611
44	28	612
45	29	614
46	30	615
47	31	615
48	31	612
49	32	611
50	32	613
51	33	612
52	34	610
53	34	609
54	35	609
55	36	608
56	36	607
57	37	609
58	38	608
59	38	607
60	39	606
61	39	604
62	40	603
63	41	602
64	41	600
65	42	599
66	43	598
67	43	598
68	44	598
69	44	597
70	45	597
71	46	596
72	46	595
73	47	595
74	48	594
75	48	593
76	50	600
77	50	600
78	51	598
79	52	607
80	53	607
81	54	605
82	54	602
83	55	601
84	55	602
85	56	600
86	57	599
87	57	600
88	58	599
89	59	599
90	59	598
91	60	597
92	61	596
93	61	594
94	62	593
95	63	594
96	63	594
97	64	591
98	64	591
99	65	590
100	66	589
101	66	589
102	67	590
103	68	589
104	68	587
105	69	586
106	70	586
107	70	585
108	71	583
109	71	581
110	72	581
111	73	580
112	73	578
113	74	577
114	74	576
115	75	576
116	76	574
117	76	573
118	77	573
119	78	572
120	78	570
121	78	568
122	79	567
123	80	566
124	80	565
125	81	565
126	81	563
127	82	563
128	83	561
129	83	561
130	84	559
131	85	559
132	85	558
133	86	557
134	86	555
135	87	555
136	87	554
137	88	553
138	89	552
139	89	552
140	90	551
141	91	550
142	91	549
143	92	548
144	92	547
145	93	546
146	94	546
147	94	545
148	95	544
149	95	543
150	96	542
151	97	541
152	97	540
153	98	540
154	98	539
155	99	537
156	99	536
157	100	536
158	101	534
159	101	533
160	102	532
161	102	532
162	103	531
163	104	530
164	104	529
165	105	529
166	105	528
167	106	527
168	107	527
169	107	526
170	108	525
171	109	524
172	109	523
173	110	522
174	110	522
175	111	522
176	112	521
177	112	521
178	113	520
179	114	520
180	114	519
181	115	518
182	116	517
183	116	517
184	126	557
185	127	556
186	127	555
187	128	554
188	128	553
189	129	551
190	130	551
