Licence Number,Licence Status,Licence Status Date,Lic. EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Licence Surface Location,Location Latitude,Location Longitude,Licensee  BA Code,Licensee Name,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,Reporting Facility ID,Facility Subtype,Facility Name,Field or Area,Operator Code,Operator Name,First Volumetric Activity Date,Last Volumetric Activity Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F10065    ,Issued,"Mar 02, 2001",10,"Mar 02, 2001", ,00/05-24-047-05W4,53.065839,-110.612185,0YK4,Surge Energy Inc., ,113, , , , , , , , , , , ,ABGP0001261,Gas Plant Sweet,ENERMARK WILDMERE,WILDMERE,0YK4,Surge Energy Inc.,"Jan 01, 1991","Dec 01, 2023"
F10091    ,Amended,"Sep 22, 2003",10,"Mar 01, 2001","Aug 26, 2006",00/01-30-047-09W4,53.076185,-111.300389,A1GR,Pine Cliff Energy Ltd., ,396,394,0,0,0,0,11.1,0,0,0, , ,ABGP0001994,Gas Plant Sweet,VIKING-KINSELLA 1-30-47-9W4,VIKING-KINSELLA,A1GR,Pine Cliff Energy Ltd.,"Jan 01, 1998","Jul 01, 2011"
F10119    ,Amended,"May 11, 2004",10,"Mar 01, 2001","Aug 26, 2006",00/11-10-047-12W4,53.039943,-111.67826,0Z5F,Sequoia Resources Corp., ,70.8,67.3,0,0,0,0,1.5,1.5,0,0, , ,ABCS0010119,Compressor Station,DOMINION EXPLORATION CANADA LTD,VIKING-KINSELLA,0Z5F,Sequoia Resources Corp., , 
F10119    ,Amended,"May 11, 2004",10,"Mar 01, 2001","Aug 26, 2006",00/11-10-047-12W4,53.039943,-111.67826,0Z5F,Sequoia Resources Corp., ,70.8,67.3,0,0,0,0,1.5,1.5,0,0, , ,ABGP0001613,Gas Plant Sweet,ARCHER VIKING,VIKING-KINSELLA,0Z5F,Sequoia Resources Corp.,"Jan 01, 1991","Mar 01, 2018"
F10121    ,Amended,"Sep 06, 2001",10,"Dec 21, 2000","Aug 26, 2006",00/03-06-047-15W4,53.020069,-112.188588,0Z5F,Sequoia Resources Corp., ,620, , , , , , , ,0, , , ,ABGP0001175,Gas Plant Sweet,ARCHER BRUCE,BRUCE,0Z5F,Sequoia Resources Corp.,"Jan 01, 1991","Mar 01, 2018"
F10137    ,Issued,"Sep 08, 2014",300,"Mar 01, 2001", ,02/07-14-047-26W4,53.05213,-113.69211,A7M1,Canlin Energy Corporation, ,31.15, , , , , , , , , , , ,ABGP0001373,Gas Plant Sweet,ASCOT WATELET,WATELET,0BP8,Obsidian Energy Ltd.,"Jan 01, 1991","Nov 01, 2002"
F10153    ,Amended,"Oct 24, 2006",400,"Mar 02, 2001","Nov 24, 2007",00/03-17-047-27W4,53.046899,-113.917115,7,Imperial Oil Resources Limited,"Regenerative, Acid Gas Injection","7,323.00",6368,3062,0,1970,1135,0,1120,10, ,0,89.7,ABGP0001045,Gp Sulphur Rcvry,IMPERIAL BONNIE GLEN,BONNIE GLEN,7,Imperial Oil Resources Limited,"Jan 01, 1991","Jul 01, 2011"
F10153    ,Amended,"Oct 24, 2006",400,"Mar 02, 2001","Nov 24, 2007",00/03-17-047-27W4,53.046899,-113.917115,7,Imperial Oil Resources Limited,"Regenerative, Acid Gas Injection","7,323.00",6368,3062,0,1970,1135,0,1120,10, ,0,89.7,ABGP0001074,Gp Acid Gas Flaring%,IMPERIAL BONNIE GLEN,BONNIE GLEN,7,Imperial Oil Resources Limited,"Jan 01, 1991","Aug 01, 2023"
F10153    ,Amended,"Oct 24, 2006",400,"Mar 02, 2001","Nov 24, 2007",00/03-17-047-27W4,53.046899,-113.917115,7,Imperial Oil Resources Limited,"Regenerative, Acid Gas Injection","7,323.00",6368,3062,0,1970,1135,0,1120,10, ,0,89.7,ABGP0001478,Gas Plant Sweet,* IMPERIAL INJECTION,BONNIE GLEN,7,Imperial Oil Resources Limited,"Jan 01, 1992","Jan 01, 2000"
