Month,Value,A,B,C,D,E,prod_%_diff,Affected_Plants_Count,Raw_Gas_Sum_E3m3/d
2007-02,10625649100,10,3,0,0,0,-9.967659902,8,1192.0
2007-03,11857260000,20,4,0,0,0,11.59092389,8,1412.0
2007-04,11494242300,73,58,8,0,1,-3.061564813,84,17003.28
2007-05,11691035100,190,60,10,4,2,1.712098935,133,24357.65
2007-06,10969959700,174,73,12,8,8,-6.167763537,160,31859.25
2007-07,11288091400,282,98,18,11,10,2.900026151,199,46009.0
2007-08,11454413900,152,17,2,5,6,1.473433321,108,23293.9
2007-09,10837386100,69,8,0,0,2,-5.386812502,54,12292.7
2007-10,11329483100,49,22,0,0,2,4.54073515,61,12374.41
2007-11,10838370800,43,15,1,0,0,-4.334816475,106,18125.97
2007-12,11183664700,30,7,0,0,0,3.185846899,19,3672.0
2008-01,10980935700,37,8,1,0,0,-1.812724232,26,4289.2
2008-02,10147513800,37,9,1,0,0,-7.589716603,8,353.9
2008-03,11150199500,56,18,4,0,0,9.881097181,55,11701.85
2008-04,10919866200,88,30,9,0,0,-2.065732546,119,24542.43
2008-05,10995861300,310,125,20,3,1,0.695934351,275,54833.29
2008-06,10390330200,220,114,24,3,5,-5.506900128,191,43928.03
2008-07,10952690100,310,109,16,5,6,5.412339061,264,51430.77
2008-08,10860352600,181,48,11,5,4,-0.843057725,191,37138.38
2008-09,10401685700,72,16,4,6,2,-4.223314996,85,13168.18
2008-10,10722789700,73,26,7,4,1,3.087038094,139,33391.93
2008-11,10375347200,23,8,3,1,0,-3.240224883,4,850.0
2008-12,10337836500,12,7,0,2,0,-0.361536817,13,2525.0
2009-01,10364157300,15,7,3,2,0,0.254606464,14,1628.0
2009-02,9572810600,18,14,4,2,0,-7.635417691,19,3044.0
2009-03,10485242000,32,12,4,2,0,9.531489111,26,8349.3
2009-04,10344389600,95,49,7,4,0,-1.343339524,110,25459.98
2009-05,10300282300,345,132,24,8,2,-0.426388619,285,60361.89
2009-06,9932244200,296,122,38,12,14,-3.573087507,308,67205.22
2009-07,10157096800,148,34,5,6,14,2.263864998,151,32836.5
2009-08,9984667000,149,39,7,1,2,-1.697628795,160,34421.37
2009-09,9118634900,138,40,4,1,2,-8.673620262,177,35880.47
2009-10,9485261800,45,9,3,1,1,4.020633615,36,8064.13
2009-11,9442642900,23,3,5,1,2,-0.449317066,56,10658.84
