Month,Raw_Gas_Sum_E3m3/d
2007-02,"1,042.002,550.001651,274.005071,415.845201,699.00"
2007-03,"3,522.001,960.002124001,400.001,960.00400400"
2007-04,"7047,686.002,811.003,522.0010,550.001,831.003301643403,110.00135421,300.001,040.006151,400.006,650.001,220.004,050.00701,409.006,650.001,700.00200277.512016931181,250.001502122111,510.002,200.004005641811001585643807001,400.00337.82821,400.00396564510229.4425110422.6423.6678020,550.00622.481,700.001,700.005108501702,200.00565.21,700.001053.5155169.91,415.841,699.00400400113.33,397.008503201,540.003,256.402856,650.006,650.00"
2007-05,"7047,686.004,495.002,811.003,522.00607404,875.0040210,550.0025511,179.00550601,831.0011,179.003,380.003307,748.002,550.0015,000.00180.34537396,229.001,090.001701,042.0024242992,550.00226.642251131,040.000615350707.91,700.001,960.00425341168.93070621268043159155702801,260.00368.1748.15660180374510212211502,350.004001414,562.001843,115.001811001,400.00652125337.88504244,875.001,960.002,803.001244,875.00650424.91107,080.0070.8127.52,832.007.18100622.481,200.002,550.00283.057001651,274.001,999.005071051551,415.842005201,699.007,787.264004004,265.4912,400.001,841.001,415.848507,297.2512,400.002,322.002,233.002,233.008,043.001,416.001,700.0010,142.646,230.008,467.003,794.503,794.504001,982.20"
2007-06,"7041,355.003,400.0022474064911,179.00601,831.0011,179.003301,200.004,332.907,748.0025019,003.0031060080097.53,110.001351801,300.002,550.00506226.68,452.001623404452832252033,381.009061512,008.501,400.001,160.004251,220.004504743823012698.61,409.001741,260.00277.545618016981,250.0083924748322122113,534.002,200.00283260.64002502961,164.006233403,115.001811,272.008,384.6057038068125337.885050028212,010.0019,003.001,400.007064005501,047.003965661552,832.1073475330424.98451,603.20110198.2423.670.85657.10622.482,550.004251,700.00382.3679.6339.82,200.001,812.402,000.001,274.00283.17433.966.510512,035.001552005207,787.261,415.84400400113.304,672.004,672.0014,158.003,115.001,272.006,218.002,650.004751,415.841,540.006,540.002,233.002,233.002,548.5011,163.003,256.408,384.601,700.0016,311.008,495.006,230.009683,446.004,814.004,814.00"
2007-07,"7041,353.001,606.002,000.004,495.002,811.00607404,875.0040210,550.0011,179.006064212,678.001,831.0099011,179.002,365.203,380.003301,200.004,332.903,610.007,748.002,550.0025015,000.00180.319,003.00901,700.004531973533106,229.001703,110.00421802,673.709956226.61132252031,040.0035061512,008.501709251,960.004504744,050.00382250306804,131.001,237.0015698.69151,409.005702801,700.001741801201133114504024748510322002122113,534.001,510.00283400736250339.8296184564713.8340181283.2570564380700566.3652681258002801,359.0050056.34244532824,875.0019,003.001,960.0090281.13961,648.301241,755.008972,000.004,875.001,553.8773650986140.98451101,134.001,130.00565707.9020,550.00622.4820857.6283.05283.242.5566.4339.87001,812.402,000.008,500.005701651,999.00283.17433.91,700.005071051553,823.005201,699.007,787.261,359.004004001,648.303,397.004,270.001,841.003,115.002,650.008502,322.006,540.002,233.002,233.004,531.003,398.002,548.503,256.40281.11,342.002,836.7016,311.005109683,446.003,794.503,794.504,814.004,814.0056540028,037.00480566"
2007-08,"7047,686.002,811.003,522.007402556,180.00550601,831.002,365.203,380.003304,332.903,610.002,550.0025015,000.002832831973533106,229.006008001,042.003402,673.70561,300.002,550.00428,452.00251132833503,381.00615707.9450168.94,050.00382434,131.00465701,700.0017439648.154561131693741,250.00100510211240290501416235645641,400.0042428212,010.00566124330845110283.2710127.5707.9810857.6283.05140339.81,999.00433.91,700.001059,617.501,415.841,699.001,136.703,397.004,265.494,270.0014,158.003202,233.002,233.001,416.001,342.0016,311.003,794.503,794.505651,982.20"
2007-09,"2,000.002,811.003,522.007406491,831.002,550.001,090.001,042.001358872,550.001132,400.0021252804503922113,534.006801811,400.00652800337.88504245502,000.009861101,130.007.13,398.00339.81,812.408,500.005701651,274.004501,062.005071051551,415.841,700.005201,699.0002,836.7028,037.00"
2007-10,"4,495.003,522.007402556,180.005501,831.004,332.907,748.002,550.0015,000.0017013542340615561,400.006,650.006804,131.006,650.001701131141,250.0082111411,400.00550509360564510229.4424.9845283.2678622.481,700.002501,700.00510850338.63339.81702,650.001,696.081,540.002,233.002,233.0011,163.001,416.0016,311.006,650.004,814.006,650.004,814.00"
2007-11,"2246010,550.002552605503,380.007,748.002,550.0015,000.002832831973533106,229.00170428872,673.70421623401,040.009061512,008.501,400.006,650.00566350707.91,700.001,220.004,050.00301,352.0043698.61,409.006,650.005702801,700.0012031181,510.002,200.00240 2,350.0014110,850.004,562.006801,352.005645647003,681.00682821,400.00902,803.006502,395.008457,080.002,832.00707.981020,550.001,200.001,982.00566.42,200.001,999.00450283.171,062.001,700.005071,415.843,823.001,700.001,699.003,397.0012,400.002,718.001,841.008503207,297.2512,400.002,322.001,540.002,840.002,233.002,233.004,531.001,416.006,650.003,446.006,650.00"
