Month,Affected_Plants_Count
2007-02,8
2007-03,8
2007-04,84
2007-05,133
2007-06,160
2007-07,199
2007-08,108
2007-09,54
2007-10,61
2007-11,106
2007-12,19
2008-01,26
2008-02,8
2008-03,55
2008-04,119
2008-05,275
2008-06,191
2008-07,264
2008-08,191
2008-09,85
2008-10,139
2008-11,4
2008-12,13
2009-01,14
2009-02,19
2009-03,26
2009-04,110
2009-05,285
2009-06,308
2009-07,151
2009-08,160
2009-09,177
2009-10,36
2009-11,56
2009-12,24
2010-01,23
2010-02,22
2010-03,119
2010-04,183
2010-05,213
2010-06,204
2010-07,271
2010-08,107
2010-09,17
2010-10,62
2010-11,39
2010-12,0
2011-01,29
2011-02,28
2011-03,18
2011-04,31
2011-05,273
2011-06,102
2011-07,77
2011-08,69
2011-09,89
2011-10,53
2011-11,47
2011-12,3
2012-01,42
2012-02,26
2012-03,44
2012-04,85
2012-05,259
2012-06,96
2012-07,155
2012-08,164
2012-09,106
2012-10,46
2012-11,2
2012-12,0
2013-01,9
2013-02,22
2013-03,15
2013-04,40
2013-05,274
2013-06,72
2013-07,90
2013-08,116
2013-09,68
2013-10,38
2013-11,24
2013-12,4
2014-01,32
2014-02,3
2014-03,18
2014-04,74
2014-05,169
2014-06,151
2014-07,176
2014-08,193
2014-09,94
2014-10,63
2014-11,38
2014-12,4
2015-01,4
2015-02,7
2015-03,80
2015-04,180
2015-05,293
2015-06,191
2015-07,241
2015-08,142
2015-09,44
2015-10,54
2015-11,38
2015-12,9
2016-01,27
2016-02,54
2016-03,76
2016-04,204
2016-05,180
2016-06,167
2016-07,107
2016-08,71
2016-09,26
2016-10,11
2016-11,13
2016-12,10
2017-01,3
2017-02,1
2017-03,17
2017-04,32
2017-05,205
2017-06,112
2017-07,143
2017-08,117
2017-09,74
2017-10,58
2017-11,0
2017-12,10
2018-01,5
2018-02,14
2018-03,20
2018-04,79
2018-05,260
2018-06,230
2018-07,118
2018-08,63
2018-09,18
2018-10,55
2018-11,8
2018-12,17
2019-01,6
2019-02,12
2019-03,36
2019-04,114
2019-05,261
2019-06,111
2019-07,72
2019-08,36
2019-09,24
2019-10,24
2019-11,2
2019-12,0
2020-01,6
2020-02,1
2020-03,4
2020-04,68
2020-05,177
2020-06,92
2020-07,86
2020-08,162
2020-09,67
2020-10,20
2020-11,45
2020-12,12
2021-01,32
2021-02,48
2021-03,83
2021-04,127
2021-05,174
2021-06,216
2021-07,268
2021-08,124
2021-09,76
2021-10,61
