Longitude,Latitude,Year,Month,Avg Capacity (1000 m3/d),Avg Throughput (1000 m3/d),Avg Throughput (GJ/d)
-121.1104,55.99558,2016,1,,0.0,0.0
-121.1104,55.99558,2016,2,,0.0,0.0
-121.1104,55.99558,2016,3,,0.0,0.0
-121.1104,55.99558,2016,4,,0.0,0.0
-121.1104,55.99558,2016,5,,0.0,0.0
-121.1104,55.99558,2016,6,,0.0,0.0
-121.1104,55.99558,2016,7,,0.0,0.0
-121.1104,55.99558,2016,8,,0.0,0.0
-121.1104,55.99558,2016,9,,0.0,0.0
-121.1104,55.99558,2016,10,,0.0,0.0
-121.1104,55.99558,2016,11,,0.0,0.0
-121.1104,55.99558,2016,12,,0.0,0.0
-121.1104,55.99558,2017,1,,0.0,0.0
-121.1104,55.99558,2017,2,,0.0,0.0
-121.1104,55.99558,2017,3,,0.0,0.0
-121.1104,55.99558,2017,4,,0.0,0.0
-121.1104,55.99558,2017,5,,0.0,0.0
-121.1104,55.99558,2017,6,,0.0,0.0
-121.1104,55.99558,2017,7,,0.0,0.0
-121.1104,55.99558,2017,8,,0.0,0.0
-121.1104,55.99558,2017,9,,0.0,0.0
-121.1104,55.99558,2017,10,,0.0,0.0
-121.1104,55.99558,2017,11,,0.0,0.0
-121.1104,55.99558,2017,12,,0.0,0.0
-121.1104,55.99558,2018,1,,0.0,0.0
-121.1104,55.99558,2018,2,,0.0,0.0
-121.1104,55.99558,2018,3,,0.0,0.0
-121.1104,55.99558,2018,4,,0.0,0.0
-121.1104,55.99558,2018,5,,0.0,0.0
-121.1104,55.99558,2018,6,,0.0,0.0
-121.1104,55.99558,2018,7,,0.0,0.0
-121.1104,55.99558,2018,8,,0.0,0.0
-121.1104,55.99558,2018,9,,0.0,0.0
-121.1104,55.99558,2018,10,,0.0,0.0
-121.1104,55.99558,2018,11,,0.0,0.0
-121.1104,55.99558,2018,12,,0.0,0.0
-121.1104,55.99558,2019,1,,0.0,0.0
-121.1104,55.99558,2019,2,,0.0,0.0
-121.1104,55.99558,2019,3,,0.0,0.0
-121.1104,55.99558,2019,4,,0.0,0.0
-121.1104,55.99558,2019,5,,0.0,0.0
-121.1104,55.99558,2019,6,,0.0,0.0
-121.1104,55.99558,2019,7,,0.0,0.0
-121.1104,55.99558,2019,8,,0.0,0.0
-121.1104,55.99558,2019,9,,0.0,0.0
-121.1104,55.99558,2019,10,,0.0,0.0
-121.1104,55.99558,2019,11,,0.0,0.0
-121.1104,55.99558,2019,12,,0.0,0.0
-121.1104,55.99558,2020,1,53823.0,75.71672108709677,2862.092057092258
-121.1104,55.99558,2020,2,53823.0,10254.660477548276,387626.16605132486
-121.1104,55.99558,2020,3,53823.0,15864.576689716128,599680.9988712696
-121.1104,55.99558,2020,4,53823.0,17318.741575096665,654648.431538654
-121.1104,55.99558,2020,5,53823.0,18534.734358403228,700612.9587476419
-121.1104,55.99558,2020,6,53823.0,17811.405492486665,673271.1276159959
-121.1104,55.99558,2020,7,53823.0,16233.802013074195,613637.7160942045
-121.1104,55.99558,2020,8,53823.0,17340.350891493545,655465.263698456
-121.1104,55.99558,2020,9,53823.0,16022.437094796665,605648.122183314
-121.1104,55.99558,2020,10,53823.0,18919.716026580645,715165.2658047484
-121.1104,55.99558,2020,11,53823.0,19018.64165497,718904.6545578659
-121.1104,55.99558,2020,12,53823.0,17807.978554687095,673141.5893671722
-121.1104,55.99558,2021,1,53823.0,20141.331271293548,761342.3220548962
-121.1104,55.99558,2021,2,53823.0,20246.414080967857,765314.4522605849
-121.1104,55.99558,2021,3,53823.0,19337.236409741934,730947.5362882451
-121.1104,55.99558,2021,4,53823.0,21070.06440775667,796448.434613202
-121.1104,55.99558,2021,5,53823.0,20137.0479971871,761180.4142936722
-121.1104,55.99558,2021,6,53823.0,20282.575815620003,766681.365830436
-121.1104,55.99558,2021,7,53823.0,20260.16163202258,765834.1096904535
-121.1104,55.99558,2021,8,53823.0,15772.639072025808,596205.7569225755
-121.1104,55.99558,2021,9,53823.0,23817.64930225,900307.14362505
-121.1104,55.99558,2021,10,53823.0,25244.187970561292,954230.3052872167
-121.1104,55.99558,2021,11,53823.0,26875.75316466,1015903.469624148
-121.1104,55.99558,2021,12,53823.0,25568.675545809678,966495.9356316058
-121.1104,55.99558,2022,1,53823.0,24680.42774314839,932920.1686910089
-121.1104,55.99558,2022,2,53823.0,26599.382030607143,1005456.6407569499
-121.1104,55.99558,2022,3,53823.0,25655.822553380647,969790.0925177884
-121.1104,55.99558,2022,4,53823.0,27730.619267669997,1048217.4083179259
-121.1104,55.99558,2022,5,53823.0,24659.313264467743,932122.0413968806
-121.1104,55.99558,2022,6,53823.0,25171.170177443335,951470.2327073578
-121.1104,55.99558,2022,7,53823.0,23301.457919516128,880795.1093577096
-121.1104,55.99558,2022,8,53823.0,23127.11972112258,874205.1254584335
-121.1104,55.99558,2022,9,53823.0,27551.136053893333,1041432.942837168
-121.1104,55.99558,2022,10,53823.0,28247.048492183872,1067738.4330045502
-121.1104,55.99558,2022,11,53823.0,30387.325983026665,1148640.922158408
-121.1104,55.99558,2022,12,53823.0,32066.343309835487,1212107.7771117813
-121.1104,55.99558,2023,1,53823.0,31177.29888493226,1178501.8978504392
-121.1104,55.99558,2023,2,53823.0,28745.770646025,1086590.1304197449
-121.1104,55.99558,2023,3,53823.0,31023.320868012906,1172681.5288108876
-121.1104,55.99558,2023,4,53823.0,33760.331378806666,1276140.526118892
-121.1104,55.99558,2023,5,53823.0,29837.246383435482,1127847.913293861
-121.1104,55.99558,2023,6,53823.0,31747.67781504,1200062.221408512
-121.1104,55.99558,2023,7,53823.0,25938.862609458065,980489.0066375148
-121.1104,55.99558,2023,8,53823.0,32515.358636229033,1229080.5564494573
-121.1104,55.99558,2023,9,53823.0,30172.93207484,1140536.832428952
-114.74,51.9475,2006,1,187479.0,161667.55210832463,6111033.46969467
-114.74,51.9475,2006,2,187479.0,168826.76199271344,6381651.603324568
-114.74,51.9475,2006,3,187479.0,172676.23317678642,6527161.6140825255
-114.74,51.9475,2006,4,189061.0,172404.91693280672,6516905.860060093
-114.74,51.9475,2006,5,189061.0,168021.5053082425,6351212.900651566
-114.74,51.9475,2006,6,189061.0,158905.7271628563,6006636.486755967
-114.74,51.9475,2006,7,189061.0,167897.81882056958,6346537.55141753
-114.74,51.9475,2006,8,189061.0,171915.63670224536,6498411.067344874
-114.74,51.9475,2006,9,189061.0,164447.78834965968,6216126.3996171355
-114.74,51.9475,2006,10,189061.0,161715.35927369428,6112840.580545642
-114.74,51.9475,2006,11,187479.0,148392.98787958937,5609254.941848477
-114.74,51.9475,2006,12,187479.0,158959.0351113231,6008651.527208012
-114.74,51.9475,2007,1,187479.0,160133.933880982,6053062.700701119
