Month,Gas Plant Frac,Gas Plant Sweet,Gp Acid Gas Flaring,Gp Acid Gas Flaring%,Gp Acid Gas Inj,Gp Mainline Strdle,Gp Sulphur Rcvry
2007-02,0.0,1192.0,0.0,0.0,0.0,0.0,0.0
2007-03,0.0,400.0,400.0,0.0,612.0,0.0,0.0
2007-04,0.0,10907.5,1595.0,164.0,612.0,0.0,0.0
2007-05,0.0,18701.22,1655.0,740.0,612.0,0.0,510.0
2007-06,0.0,19089.57,3140.3,1546.5,2885.0,0.0,475.0
2007-07,0.0,31784.42,3566.7,1629.0,3081.1,0.0,1152.0
2007-08,0.0,19225.75,709.0,990.0,600.0,0.0,510.0
2007-09,0.0,9959.7,176.0,1190.0,0.0,0.0,0.0
2007-10,0.0,7390.53,794.0,910.0,0.0,0.0,0.0
2007-11,0.0,13532.97,1151.6,1096.0,0.0,0.0,566.0
2007-12,0.0,1885.0,400.0,0.0,612.0,0.0,0.0
2008-01,0.0,4289.2,0.0,0.0,0.0,0.0,0.0
2008-02,0.0,169.9,0.0,0.0,0.0,0.0,0.0
2008-03,0.0,9123.65,348.1,614.0,281.1,0.0,0.0
2008-04,0.0,20483.05,1023.0,547.0,0.0,0.0,0.0
2008-05,0.0,35007.26,7114.7,2256.0,1881.0,0.0,566.0
2008-06,0.0,24959.0,5141.7,2761.0,4431.1,0.0,1208.0
2008-07,0.0,35298.04,2746.1,2229.0,2410.0,0.0,0.0
2008-08,0.0,24799.28,3187.0,1280.5,600.0,0.0,1076.0
2008-09,0.0,9351.83,1121.1,164.0,281.1,0.0,0.0
2008-10,0.1,25059.35,2983.6,224.0,1212.0,0.0,642.0
2008-11,0.0,850.0,0.0,0.0,0.0,0.0,0.0
2008-12,0.0,2354.0,0.0,140.0,0.0,0.0,0.0
2009-01,0.0,994.0,0.0,0.0,0.0,0.0,510.0
2009-02,0.0,2457.0,0.0,235.0,0.0,0.0,0.0
2009-03,0.0,6643.3,0.0,612.0,0.0,0.0,510.0
2009-04,0.0,21149.7,1013.0,649.0,612.0,0.0,0.0
2009-05,0.1,43535.96,2554.6,3249.6,893.1,0.0,1718.0
2009-06,0.0,43598.24,4225.7,3076.0,2254.1,0.0,1076.0
2009-07,0.0,26302.85,1877.5,170.0,0.0,0.0,1152.0
2009-08,0.0,22970.42,4582.8,1701.5,893.1,0.0,642.0
2009-09,0.0,30218.52,2503.0,838.0,612.0,0.0,0.0
2009-10,0.0,6385.13,933.0,224.0,0.0,0.0,0.0
2009-11,0.0,8535.44,21.0,224.0,0.0,0.0,642.0
