Date,Value,labels,A,B,C,D,E
2007-01-01,11802035900,2007-01-01T00:00:00,9,4,0,0,0
2007-02-01,10625649100,2007-02-01T00:00:00,10,3,0,0,0
2007-03-01,11857260000,2007-03-01T00:00:00,20,4,0,0,0
2007-04-01,11494242300,2007-04-01T00:00:00,73,58,8,0,1
2007-05-01,11691035100,2007-05-01T00:00:00,190,60,10,4,2
2007-06-01,10969959700,2007-06-01T00:00:00,174,73,12,8,8
2007-07-01,11288091400,2007-07-01T00:00:00,282,98,18,11,10
2007-08-01,11454413900,2007-08-01T00:00:00,152,17,2,5,6
2007-09-01,10837386100,2007-09-01T00:00:00,69,8,0,0,2
2007-10-01,11329483100,2007-10-01T00:00:00,49,22,0,0,2
2007-11-01,10838370800,2007-11-01T00:00:00,43,15,1,0,0
2007-12-01,11183664700,2007-12-01T00:00:00,30,7,0,0,0
2008-01-01,10980935700,2008-01-01T00:00:00,37,8,1,0,0
2008-02-01,10147513800,2008-02-01T00:00:00,37,9,1,0,0
2008-03-01,11150199500,2008-03-01T00:00:00,56,18,4,0,0
2008-04-01,10919866200,2008-04-01T00:00:00,88,30,9,0,0
2008-05-01,10995861300,2008-05-01T00:00:00,310,125,20,3,1
2008-06-01,10390330200,2008-06-01T00:00:00,220,114,24,3,5
2008-07-01,10952690100,2008-07-01T00:00:00,310,109,16,5,6
2008-08-01,10860352600,2008-08-01T00:00:00,181,48,11,5,4
2008-09-01,10401685700,2008-09-01T00:00:00,72,16,4,6,2
2008-10-01,10722789700,2008-10-01T00:00:00,73,26,7,4,1
2008-11-01,10375347200,2008-11-01T00:00:00,23,8,3,1,0
2008-12-01,10337836500,2008-12-01T00:00:00,12,7,0,2,0
2009-01-01,10364157300,2009-01-01T00:00:00,15,7,3,2,0
2009-02-01,9572810600,2009-02-01T00:00:00,18,14,4,2,0
2009-03-01,10485242000,2009-03-01T00:00:00,32,12,4,2,0
2009-04-01,10344389600,2009-04-01T00:00:00,95,49,7,4,0
2009-05-01,10300282300,2009-05-01T00:00:00,345,132,24,8,2
2009-06-01,9932244200,2009-06-01T00:00:00,296,122,38,12,14
2009-07-01,10157096800,2009-07-01T00:00:00,148,34,5,6,14
2009-08-01,9984667000,2009-08-01T00:00:00,149,39,7,1,2
2009-09-01,9118634900,2009-09-01T00:00:00,138,40,4,1,2
2009-10-01,9485261800,2009-10-01T00:00:00,45,9,3,1,1
2009-11-01,9442642900,2009-11-01T00:00:00,23,3,5,1,2
2009-12-01,9404811000,2009-12-01T00:00:00,22,1,3,1,2
2010-01-01,9587092300,2010-01-01T00:00:00,37,5,5,1,2
2010-02-01,8787291700,2010-02-01T00:00:00,51,11,5,1,2
2010-03-01,9863017800,2010-03-01T00:00:00,84,40,13,2,1
2010-04-01,9622388700,2010-04-01T00:00:00,178,145,31,4,1
2010-05-01,9790009400,2010-05-01T00:00:00,169,92,24,4,1
2010-06-01,9112047000,2010-06-01T00:00:00,186,109,32,10,4
2010-07-01,9584063800,2010-07-01T00:00:00,289,152,42,9,16
2010-08-01,9586635100,2010-08-01T00:00:00,89,46,19,2,13
2010-09-01,8953293400,2010-09-01T00:00:00,16,8,4,1,11
2010-10-01,9294761500,2010-10-01T00:00:00,36,28,7,3,0
2010-11-01,8801163600,2010-11-01T00:00:00,20,15,4,0,0
2010-12-01,9180499900,2010-12-01T00:00:00,8,6,3,0,0
2011-01-01,9074097300,2011-01-01T00:00:00,10,7,3,0,0
2011-02-01,8251698600,2011-02-01T00:00:00,22,9,3,0,0
2011-03-01,9091712400,2011-03-01T00:00:00,33,12,3,0,0
2011-04-01,9104141800,2011-04-01T00:00:00,111,54,4,1,0
2011-05-01,9051266800,2011-05-01T00:00:00,176,189,28,13,21
2011-06-01,8796907500,2011-06-01T00:00:00,83,26,8,6,27
2011-07-01,9156216300,2011-07-01T00:00:00,141,26,5,2,19
2011-08-01,9059126600,2011-08-01T00:00:00,133,26,5,0,12
2011-09-01,8632952800,2011-09-01T00:00:00,102,19,6,0,12
2011-10-01,8914243200,2011-10-01T00:00:00,41,12,8,0,7
2011-11-01,8859161600,2011-11-01T00:00:00,31,9,3,0,7
2011-12-01,9286980100,2011-12-01T00:00:00,19,7,1,0,6
2012-01-01,8873359200,2012-01-01T00:00:00,28,7,1,0,6
2012-02-01,8348839900,2012-02-01T00:00:00,45,12,1,0,3
2012-03-01,8957755000,2012-03-01T00:00:00,66,13,1,1,3
2012-04-01,8583941100,2012-04-01T00:00:00,104,55,11,0,3
2012-05-01,8701638900,2012-05-01T00:00:00,304,141,17,4,11
